"","State","Year","Month.Code","Deaths","Month","Administered_Dose1_18_to_65","Series_Complete_18_to_65","Population","date","fips","cases","deaths"
"1","Alabama",2022,"2022/01",521,"01",1980923,1587252,5074296,"2022-01-31",1,1218257,17086
"2","Alabama",2022,"2022/02",414,"02",2003407,1609315,5074296,"2022-02-28",1,1279565,18225
"3","Alabama",2022,"2022/03",404,"03",2016395,1623155,5074296,"2022-03-31",1,1295327,19290
"4","Alabama",2022,"2022/04",384,"04",2029085,1634819,5074296,"2022-04-30",1,1300733,19567
"5","Alabama",2022,"2022/05",376,"05",2037717,1642546,5074296,"2022-05-31",1,1314963,19664
"6","Alabama",2022,"2022/06",426,"06",2045973,1646155,5074296,"2022-06-30",1,1357266,19755
"7","Alabama",2022,"2022/07",407,"07",2053808,1653401,5074296,"2022-07-31",1,1424411,19891
"8","Alabama",2022,"2022/08",387,"08",2061266,1661668,5074296,"2022-08-31",1,1491815,20113
"9","Alabama",2022,"2022/09",406,"09",2066272,1666036,5074296,"2022-09-30",1,1522879,20423
"10","Alabama",2022,"2022/10",425,"10",2072164,1672350,5074296,"2022-10-31",1,1534287,20558
"11","Alabama",2022,"2022/11",395,"11",2081997,1681366,5074296,"2022-11-30",1,1549285,21129
"12","Alabama",2022,"2022/12",479,"12",2086201,1684790,5074296,"2022-12-31",1,1573637,21208
"13","Alabama",2023,"2023/01",413,"01",2089120,1687033,NA,"2023-01-31",1,1610535,21343
"14","Alabama",2023,"2023/02",363,"02",2091043,1688525,NA,"2023-02-28",1,1638348,21452
"15","Alabama",2023,"2023/03",339,"03",2092119,1689360,NA,"2023-03-23",1,1648385,21631
"16","Alaska",2022,"2022/01",39,"01",356052,306989,733583,"2022-01-31",2,215643,1057
"17","Alaska",2022,"2022/02",34,"02",359187,320161,733583,"2022-02-28",2,237977,1128
"18","Alaska",2022,"2022/03",32,"03",362627,323086,733583,"2022-03-31",2,245619,1192
"19","Alaska",2022,"2022/04",28,"04",364712,325606,733583,"2022-04-30",2,251388,1212
"20","Alaska",2022,"2022/05",33,"05",365590,326939,733583,"2022-05-31",2,258431,1246
"21","Alaska",2022,"2022/06",28,"06",368151,325885,733583,"2022-06-30",2,270747,1246
"22","Alaska",2022,"2022/07",44,"07",369149,326917,733583,"2022-07-31",2,281969,1270
"23","Alaska",2022,"2022/08",39,"08",370274,328256,733583,"2022-08-31",2,292817,1297
"24","Alaska",2022,"2022/09",39,"09",371260,329003,733583,"2022-09-30",2,296491,1321
"25","Alaska",2022,"2022/10",44,"10",372223,333817,733583,"2022-10-31",2,298479,1369
"26","Alaska",2022,"2022/11",35,"11",373819,334825,733583,"2022-11-30",2,300238,1390
"27","Alaska",2022,"2022/12",38,"12",374626,335383,733583,"2022-12-31",2,301774,1408
"28","Alaska",2023,"2023/01",37,"01",375189,335732,NA,"2023-01-31",2,304681,1426
"29","Alaska",2023,"2023/02",30,"02",375638,336036,NA,"2023-02-28",2,307377,1438
"30","Alaska",2023,"2023/03",33,"03",375856,336220,NA,"2023-03-23",2,308893,1438
"31","Arizona",2022,"2022/01",345,"01",3276803,2772914,7359197,"2022-01-31",4,1870644,26205
"32","Arizona",2022,"2022/02",270,"02",3332341,2818627,7359197,"2022-02-28",4,1976890,27946
"33","Arizona",2022,"2022/03",268,"03",3365080,2845697,7359197,"2022-03-31",4,2007180,29268
"34","Arizona",2022,"2022/04",280,"04",3393134,2867336,7359197,"2022-04-30",4,2021524,29951
"35","Arizona",2022,"2022/05",287,"05",3417591,2882962,7359197,"2022-05-31",4,2049627,30299
"36","Arizona",2022,"2022/06",309,"06",3441462,2895421,7359197,"2022-06-30",4,2125567,30515
"37","Arizona",2022,"2022/07",323,"07",3460300,2907222,7359197,"2022-07-31",4,2196429,30768
"38","Arizona",2022,"2022/08",298,"08",3478285,2919684,7359197,"2022-08-31",4,2254374,31114
"39","Arizona",2022,"2022/09",289,"09",3495658,2930295,7359197,"2022-09-30",4,2271560,31370
"40","Arizona",2022,"2022/10",275,"10",3519743,2945984,7359197,"2022-10-31",4,2287886,31548
"41","Arizona",2022,"2022/11",260,"11",3534678,3025448,7359197,"2022-11-30",4,2337547,31751
"42","Arizona",2022,"2022/12",329,"12",3553409,3033235,7359197,"2022-12-31",4,2378334,32182
"43","Arizona",2023,"2023/01",321,"01",3567075,3038816,NA,"2023-01-31",4,2398200,32775
"44","Arizona",2023,"2023/02",278,"02",3586890,3044519,NA,"2023-02-28",4,2434631,33043
"45","Arizona",2023,"2023/03",276,"03",3592787,3046537,NA,"2023-03-23",4,2451062,33190
"46","Arkansas",2022,"2022/01",257,"01",1280326,1035931,3045637,"2022-01-31",5,776759,9634
"47","Arkansas",2022,"2022/02",209,"02",1294204,1049079,3045637,"2022-02-28",5,819984,10524
"48","Arkansas",2022,"2022/03",225,"03",1302878,1057738,3045637,"2022-03-31",5,832922,11230
"49","Arkansas",2022,"2022/04",186,"04",1311288,1064776,3045637,"2022-04-30",5,835857,11389
"50","Arkansas",2022,"2022/05",237,"05",1317379,1069897,3045637,"2022-05-31",5,843362,11484
"51","Arkansas",2022,"2022/06",219,"06",1325311,1075374,3045637,"2022-06-30",5,865592,11581
"52","Arkansas",2022,"2022/07",228,"07",1329747,1078997,3045637,"2022-07-31",5,903931,11719
"53","Arkansas",2022,"2022/08",213,"08",1336301,1084723,3045637,"2022-08-31",5,932639,11918
"54","Arkansas",2022,"2022/09",224,"09",1340733,1087953,3045637,"2022-09-30",5,951644,12165
"55","Arkansas",2022,"2022/10",223,"10",1347527,1093475,3045637,"2022-10-31",5,959855,12489
"56","Arkansas",2022,"2022/11",226,"11",1354722,1098613,3045637,"2022-11-30",5,968871,12573
"57","Arkansas",2022,"2022/12",257,"12",1358706,1101244,3045637,"2022-12-31",5,985493,12703
"58","Arkansas",2023,"2023/01",259,"01",1361884,1103281,NA,"2023-01-31",5,996758,12858
"59","Arkansas",2023,"2023/02",190,"02",1363483,1104328,NA,"2023-02-28",5,1004752,12984
"60","Arkansas",2023,"2023/03",210,"03",1364608,1105114,NA,"2023-03-23",5,1008303,13068
"61","California",2022,"2022/01",1711,"01",22141583,19118252,39029342,"2022-01-31",6,8411819,80267
"62","California",2022,"2022/02",1417,"02",22500848,19376510,39029342,"2022-02-28",6,8975648,85564
"63","California",2022,"2022/03",1418,"03",22650802,19509878,39029342,"2022-03-31",6,9103954,89018
"64","California",2022,"2022/04",1339,"04",22934161,19717424,39029342,"2022-04-30",6,9235936,90419
"65","California",2022,"2022/05",1370,"05",22622139,19853217,39029342,"2022-05-31",6,9572842,91489
"66","California",2022,"2022/06",1347,"06",22694825,19881439,39029342,"2022-06-30",6,10101062,92418
"67","California",2022,"2022/07",1470,"07",22773834,19936304,39029342,"2022-07-31",6,10700053,93613
"68","California",2022,"2022/08",1318,"08",22848019,19988409,39029342,"2022-08-31",6,11091425,95001
"69","California",2022,"2022/09",1386,"09",22923806,20040704,39029342,"2022-09-30",6,11263827,96020
"70","California",2022,"2022/10",1302,"10",23124154,20132848,39029342,"2022-10-31",6,11364908,96960
"71","California",2022,"2022/11",1419,"11",22775207,20089704,39029342,"2022-11-30",6,11502638,99856
"72","California",2022,"2022/12",1507,"12",22852115,20133538,39029342,"2022-12-31",6,11826466,100865
"73","California",2023,"2023/01",1415,"01",22922710,20175690,NA,"2023-01-31",6,11983239,102337
"74","California",2023,"2023/02",1184,"02",22960584,20194233,NA,"2023-02-28",6,12088153,103554
"75","California",2023,"2023/03",1153,"03",22990842,20220570,NA,"2023-03-23",6,12169158,104277
"76","Colorado",2022,"2022/01",233,"01",3120547,2747950,5839926,"2022-01-31",8,1258871,11339
"77","Colorado",2022,"2022/02",159,"02",3154854,2779008,5839926,"2022-02-28",8,1319806,12007
"78","Colorado",2022,"2022/03",186,"03",3172275,2795654,5839926,"2022-03-31",8,1351404,12174
"79","Colorado",2022,"2022/04",173,"04",3187777,2809519,5839926,"2022-04-30",8,1389860,12366
"80","Colorado",2022,"2022/05",204,"05",3199468,2819843,5839926,"2022-05-31",8,1455066,12749
"81","Colorado",2022,"2022/06",186,"06",3213816,2827253,5839926,"2022-06-30",8,1541065,12968
"82","Colorado",2022,"2022/07",189,"07",3223369,2836132,5839926,"2022-07-31",8,1603625,13194
"83","Colorado",2022,"2022/08",153,"08",3234063,2846854,5839926,"2022-08-31",8,1638142,13370
"84","Colorado",2022,"2022/09",152,"09",3246160,2856481,5839926,"2022-09-30",8,1661882,13516
"85","Colorado",2022,"2022/10",158,"10",3265178,2873450,5839926,"2022-10-31",8,1681928,13626
"86","Colorado",2022,"2022/11",195,"11",3287620,2889869,5839926,"2022-11-30",8,1708152,13628
"87","Colorado",2022,"2022/12",205,"12",3296216,2895922,5839926,"2022-12-31",8,1734673,13899
"88","Colorado",2023,"2023/01",167,"01",3302351,2899948,NA,"2023-01-31",8,1748855,14049
"89","Colorado",2023,"2023/02",151,"02",3307636,2903979,NA,"2023-02-28",8,1761881,14117
"90","Colorado",2023,"2023/03",139,"03",3310495,2906289,NA,"2023-03-23",8,1771010,14245
"91","Connecticut",2022,"2022/01",157,"01",2215092,1840877,3626205,"2022-01-31",9,699400,10010
"92","Connecticut",2022,"2022/02",132,"02",2243769,1861225,3626205,"2022-02-28",9,723389,10470
"93","Connecticut",2022,"2022/03",106,"03",2259664,1871991,3626205,"2022-03-31",9,736775,10776
"94","Connecticut",2022,"2022/04",94,"04",2273666,1882408,3626205,"2022-04-30",9,758281,10850
"95","Connecticut",2022,"2022/05",128,"05",2285819,1891583,3626205,"2022-05-31",9,809194,10941
"96","Connecticut",2022,"2022/06",96,"06",2294105,1895572,3626205,"2022-06-30",9,828968,11045
"97","Connecticut",2022,"2022/07",135,"07",2301844,1900753,3626205,"2022-07-31",9,854582,11102
"98","Connecticut",2022,"2022/08",105,"08",2309538,1905849,3626205,"2022-08-31",9,875076,11269
"99","Connecticut",2022,"2022/09",112,"09",2321649,1912519,3626205,"2022-09-30",9,896893,11365
"100","Connecticut",2022,"2022/10",120,"10",2345046,1924355,3626205,"2022-10-31",9,913153,11463
"101","Connecticut",2022,"2022/11",116,"11",2370050,1934908,3626205,"2022-11-30",9,926947,11587
"102","Connecticut",2022,"2022/12",148,"12",2382412,1940440,3626205,"2022-12-31",9,948001,11781
"103","Connecticut",2023,"2023/01",108,"01",2390771,1943690,NA,"2023-01-31",9,966860,11964
"104","Connecticut",2023,"2023/02",116,"02",2395088,1945435,NA,"2023-02-28",9,975241,12145
"105","Connecticut",2023,"2023/03",110,"03",2397277,1946361,NA,"2023-03-23",9,978456,12270
"106","Delaware",2022,"2022/01",53,"01",503000,411750,1018396,"2022-01-31",10,248111,2531
"107","Delaware",2022,"2022/02",39,"02",511426,418844,1018396,"2022-02-28",10,256621,2709
"108","Delaware",2022,"2022/03",49,"03",515204,422791,1018396,"2022-03-31",10,259647,2846
"109","Delaware",2022,"2022/04",49,"04",518670,426058,1018396,"2022-04-30",10,262461,2907
"110","Delaware",2022,"2022/05",44,"05",521452,428583,1018396,"2022-05-31",10,276639,2956
"111","Delaware",2022,"2022/06",51,"06",524092,430649,1018396,"2022-06-30",10,285046,2984
"112","Delaware",2022,"2022/07",43,"07",526140,432249,1018396,"2022-07-31",10,294041,3024
"113","Delaware",2022,"2022/08",42,"08",528330,434426,1018396,"2022-08-31",10,302738,3042
"114","Delaware",2022,"2022/09",38,"09",530759,436469,1018396,"2022-09-30",10,308713,3111
"115","Delaware",2022,"2022/10",58,"10",533350,438660,1018396,"2022-10-31",10,313383,3147
"116","Delaware",2022,"2022/11",46,"11",535048,439756,1018396,"2022-11-30",10,316956,3172
"117","Delaware",2022,"2022/12",46,"12",540485,444397,1018396,"2022-12-31",10,321888,3206
"118","Delaware",2023,"2023/01",51,"01",542753,446136,NA,"2023-01-31",10,325872,3254
"119","Delaware",2023,"2023/02",49,"02",543612,446618,NA,"2023-02-28",10,330332,3309
"120","Delaware",2023,"2023/03",43,"03",544107,446964,NA,"2023-03-23",10,332861,3352
"121","District of Columbia",2022,"2022/01",52,"01",506404,379819,671803,"2022-01-31",11,130888,1289
"122","District of Columbia",2022,"2022/02",29,"02",515882,386235,671803,"2022-02-28",11,134564,1318
"123","District of Columbia",2022,"2022/03",36,"03",522953,391222,671803,"2022-03-31",11,136598,1331
"124","District of Columbia",2022,"2022/04",33,"04",529176,396515,671803,"2022-04-30",11,141943,1340
"125","District of Columbia",2022,"2022/05",39,"05",550794,420036,671803,"2022-05-31",11,149638,1342
"126","District of Columbia",2022,"2022/06",26,"06",540644,403536,671803,"2022-06-30",11,156802,1349
"127","District of Columbia",2022,"2022/07",34,"07",547177,408746,671803,"2022-07-31",11,162519,1364
"128","District of Columbia",2022,"2022/08",28,"08",551804,412465,671803,"2022-08-31",11,166166,1381
"129","District of Columbia",2022,"2022/09",34,"09",560860,420171,671803,"2022-09-30",11,168514,1392
"130","District of Columbia",2022,"2022/10",30,"10",572868,430167,671803,"2022-10-31",11,169709,1397
"131","District of Columbia",2022,"2022/11",28,"11",585058,439419,671803,"2022-11-30",11,171317,1403
"132","District of Columbia",2022,"2022/12",33,"12",590098,443082,671803,"2022-12-31",11,173626,1411
"133","District of Columbia",2023,"2023/01",32,"01",613566,469012,NA,"2023-01-31",11,176012,1422
"134","District of Columbia",2023,"2023/02",24,"02",615572,470392,NA,"2023-02-28",11,177504,1427
"135","District of Columbia",2023,"2023/03",23,"03",616505,471124,NA,"2023-03-23",11,178226,1432
"136","Florida",2022,"2022/01",1166,"01",10565332,8932763,22244823,"2022-01-31",12,5535803,65265
"137","Florida",2022,"2022/02",999,"02",10693125,9037443,22244823,"2022-02-28",12,5806510,70084
"138","Florida",2022,"2022/03",1038,"03",10782378,9105548,22244823,"2022-03-31",12,5849949,73244
"139","Florida",2022,"2022/04",931,"04",10861205,9161134,22244823,"2022-04-30",12,5925668,73948
"140","Florida",2022,"2022/05",987,"05",10921670,9205558,22244823,"2022-05-31",12,6159702,74550
"141","Florida",2022,"2022/06",1034,"06",10973614,9234873,22244823,"2022-06-30",12,6482295,75800
"142","Florida",2022,"2022/07",1009,"07",11014004,9267262,22244823,"2022-07-31",12,6789498,77565
"143","Florida",2022,"2022/08",988,"08",11055541,9299984,22244823,"2022-08-31",12,7025348,79853
"144","Florida",2022,"2022/09",917,"09",11091977,9326576,22244823,"2022-09-30",12,7118498,81416
"145","Florida",2022,"2022/10",986,"10",11130928,9359207,22244823,"2022-10-31",12,7149300,82176
"146","Florida",2022,"2022/11",949,"11",11178623,9393535,22244823,"2022-11-30",12,7195943,82875
"147","Florida",2022,"2022/12",1041,"12",11204475,9409847,22244823,"2022-12-31",12,7269428,83911
"148","Florida",2023,"2023/01",1070,"01",11244370,9433090,NA,"2023-01-31",12,7400419,84927
"149","Florida",2023,"2023/02",903,"02",11270015,9448962,NA,"2023-02-28",12,7473371,86294
"150","Florida",2023,"2023/03",850,"03",11287430,9461122,NA,"2023-03-23",12,7542869,87141
"151","Georgia",2022,"2022/01",772,"01",4704393,3910940,10912876,"2022-01-31",13,2302164,31697
"152","Georgia",2022,"2022/02",623,"02",4747256,3948029,10912876,"2022-02-28",13,2395050,34053
"153","Georgia",2022,"2022/03",651,"03",4785896,3986699,10912876,"2022-03-31",13,2429552,35571
"154","Georgia",2022,"2022/04",634,"04",4815143,4014036,10912876,"2022-04-30",13,2445476,36349
"155","Georgia",2022,"2022/05",604,"05",4838074,4035393,10912876,"2022-05-31",13,2485297,36714
"156","Georgia",2022,"2022/06",574,"06",4869143,4061395,10912876,"2022-06-30",13,2573368,37075
"157","Georgia",2022,"2022/07",621,"07",4882637,4071664,10912876,"2022-07-31",13,2672553,37520
"158","Georgia",2022,"2022/08",585,"08",4907452,4096207,10912876,"2022-08-31",13,2788282,38218
"159","Georgia",2022,"2022/09",684,"09",4922762,4109241,10912876,"2022-09-30",13,2821158,38717
"160","Georgia",2022,"2022/10",664,"10",4931047,4120798,10912876,"2022-10-31",13,2835571,39057
"161","Georgia",2022,"2022/11",612,"11",4948739,4133878,10912876,"2022-11-30",13,2857433,39637
"162","Georgia",2022,"2022/12",711,"12",4980777,4154650,10912876,"2022-12-31",13,2898584,39964
"163","Georgia",2023,"2023/01",659,"01",4991698,4162276,NA,"2023-01-31",13,2940401,40435
"164","Georgia",2023,"2023/02",511,"02",4999141,4167880,NA,"2023-02-28",13,2972781,40832
"165","Georgia",2023,"2023/03",560,"03",5003737,4171332,NA,"2023-03-23",13,2984923,41055
"166","Hawaii",2022,"2022/01",82,"01",800041,716369,1440196,"2022-01-31",15,214249,1178
"167","Hawaii",2022,"2022/02",62,"02",809990,723171,1440196,"2022-02-28",15,230458,1331
"168","Hawaii",2022,"2022/03",49,"03",816049,726434,1440196,"2022-03-31",15,234659,1376
"169","Hawaii",2022,"2022/04",47,"04",818920,728917,1440196,"2022-04-30",15,241955,1415
"170","Hawaii",2022,"2022/05",61,"05",821933,731247,1440196,"2022-05-31",15,267602,1448
"171","Hawaii",2022,"2022/06",63,"06",827551,732857,1440196,"2022-06-30",15,301246,1501
"172","Hawaii",2022,"2022/07",59,"07",829794,735671,1440196,"2022-07-31",15,317785,1568
"173","Hawaii",2022,"2022/08",53,"08",831422,737804,1440196,"2022-08-31",15,331095,1641
"174","Hawaii",2022,"2022/09",76,"09",833781,739888,1440196,"2022-09-30",15,347333,1683
"175","Hawaii",2022,"2022/10",67,"10",837799,744253,1440196,"2022-10-31",15,353081,1701
"176","Hawaii",2022,"2022/11",67,"11",841651,747314,1440196,"2022-11-30",15,358458,1734
"177","Hawaii",2022,"2022/12",75,"12",844460,749235,1440196,"2022-12-31",15,363188,1758
"178","Hawaii",2023,"2023/01",60,"01",846126,750397,NA,"2023-01-31",15,367875,1783
"179","Hawaii",2023,"2023/02",50,"02",847109,751129,NA,"2023-02-28",15,369983,1819
"180","Hawaii",2023,"2023/03",65,"03",847608,751591,NA,"2023-03-23",15,372408,1851
"181","Idaho",2022,"2022/01",72,"01",693109,602844,1939033,"2022-01-31",16,380402,4423
"182","Idaho",2022,"2022/02",62,"02",701556,611880,1939033,"2022-02-28",16,426256,4753
"183","Idaho",2022,"2022/03",46,"03",706530,617145,1939033,"2022-03-31",16,444090,4876
"184","Idaho",2022,"2022/04",53,"04",710267,621077,1939033,"2022-04-30",16,446138,4930
"185","Idaho",2022,"2022/05",67,"05",714174,624889,1939033,"2022-05-31",16,451100,4943
"186","Idaho",2022,"2022/06",67,"06",717474,626695,1939033,"2022-06-30",16,463136,4975
"187","Idaho",2022,"2022/07",61,"07",720490,628987,1939033,"2022-07-31",16,478770,5038
"188","Idaho",2022,"2022/08",52,"08",723288,632072,1939033,"2022-08-31",16,489511,5118
"189","Idaho",2022,"2022/09",61,"09",725811,634113,1939033,"2022-09-30",16,495979,5179
"190","Idaho",2022,"2022/10",68,"10",729357,638241,1939033,"2022-10-31",16,499991,5220
"191","Idaho",2022,"2022/11",59,"11",733606,641318,1939033,"2022-11-30",16,506320,5281
"192","Idaho",2022,"2022/12",58,"12",735719,642807,1939033,"2022-12-31",16,511722,5329
"193","Idaho",2023,"2023/01",55,"01",737201,643833,NA,"2023-01-31",16,515114,5371
"194","Idaho",2023,"2023/02",45,"02",738309,644654,NA,"2023-02-28",16,518603,5408
"195","Idaho",2023,"2023/03",51,"03",739034,645172,NA,"2023-03-23",16,522919,5456
"196","Illinois",2022,"2022/01",763,"01",6479335,5691491,12582032,"2022-01-31",17,2925690,34704
"197","Illinois",2022,"2022/02",617,"02",6508025,5756467,12582032,"2022-02-28",17,3036705,36910
"198","Illinois",2022,"2022/03",593,"03",6546043,5808612,12582032,"2022-03-31",17,3073830,37667
"199","Illinois",2022,"2022/04",569,"04",6559454,5842055,12582032,"2022-04-30",17,3144347,37898
"200","Illinois",2022,"2022/05",618,"05",6538976,5873358,12582032,"2022-05-31",17,3308233,38135
"201","Illinois",2022,"2022/06",543,"06",6508410,5855475,12582032,"2022-06-30",17,3436799,38588
"202","Illinois",2022,"2022/07",599,"07",6527831,5872534,12582032,"2022-07-31",17,3569918,38882
"203","Illinois",2022,"2022/08",574,"08",6540403,5886643,12582032,"2022-08-31",17,3694055,39328
"204","Illinois",2022,"2022/09",552,"09",6581728,5915519,12582032,"2022-09-30",17,3768893,39698
"205","Illinois",2022,"2022/10",580,"10",6613974,5941597,12582032,"2022-10-31",17,3821443,39997
"206","Illinois",2022,"2022/11",609,"11",6661964,5977183,12582032,"2022-11-30",17,3884333,40303
"207","Illinois",2022,"2022/12",690,"12",6664995,5981086,12582032,"2022-12-31",17,3976840,40678
"208","Illinois",2023,"2023/01",626,"01",6669156,5986459,NA,"2023-01-31",17,4026970,41088
"209","Illinois",2023,"2023/02",542,"02",6688938,6007419,NA,"2023-02-28",17,4069426,41379
"210","Illinois",2023,"2023/03",494,"03",6680178,6005049,NA,"2023-03-23",17,4107931,41618
"211","Indiana",2022,"2022/01",414,"01",2661561,2363570,6833037,"2022-01-31",18,1627324,21356
"212","Indiana",2022,"2022/02",358,"02",2691343,2393410,6833037,"2022-02-28",18,1685676,22843
"213","Indiana",2022,"2022/03",356,"03",2708580,2411583,6833037,"2022-03-31",18,1690823,23373
"214","Indiana",2022,"2022/04",340,"04",2721663,2422943,6833037,"2022-04-30",18,1702292,23587
"215","Indiana",2022,"2022/05",352,"05",2734572,2440513,6833037,"2022-05-31",18,1730761,23700
"216","Indiana",2022,"2022/06",353,"06",2769571,2488041,6833037,"2022-06-30",18,1772183,23877
"217","Indiana",2022,"2022/07",349,"07",2776087,2493431,6833037,"2022-07-31",18,1828734,24086
"218","Indiana",2022,"2022/08",350,"08",2782938,2501164,6833037,"2022-08-31",18,1895799,24418
"219","Indiana",2022,"2022/09",343,"09",2789469,2505892,6833037,"2022-09-30",18,1921993,24708
"220","Indiana",2022,"2022/10",336,"10",2797362,2512465,6833037,"2022-10-31",18,1937565,24901
"221","Indiana",2022,"2022/11",399,"11",2809745,2521167,6833037,"2022-11-30",18,1965757,25138
"222","Indiana",2022,"2022/12",425,"12",2815977,2524969,6833037,"2022-12-31",18,2002760,25364
"223","Indiana",2023,"2023/01",366,"01",2820265,2527691,NA,"2023-01-31",18,2024969,25861
"224","Indiana",2023,"2023/02",314,"02",2825225,2530593,NA,"2023-02-28",18,2043069,26045
"225","Indiana",2023,"2023/03",319,"03",2827539,2532083,NA,"2023-03-23",18,2054533,26179
"226","Iowa",2022,"2022/01",189,"01",1355061,1223089,3200517,"2022-01-31",19,712288,8501
"227","Iowa",2022,"2022/02",140,"02",1367155,1234559,3200517,"2022-02-28",19,748849,9085
"228","Iowa",2022,"2022/03",124,"03",1374526,1242879,3200517,"2022-03-31",19,758463,9445
"229","Iowa",2022,"2022/04",133,"04",1379756,1248163,3200517,"2022-04-30",19,763782,9529
"230","Iowa",2022,"2022/05",149,"05",1384194,1252038,3200517,"2022-05-31",19,779064,9588
"231","Iowa",2022,"2022/06",142,"06",1388177,1255545,3200517,"2022-06-30",19,796611,9688
"232","Iowa",2022,"2022/07",132,"07",1391397,1258516,3200517,"2022-07-31",19,817159,9782
"233","Iowa",2022,"2022/08",158,"08",1395255,1263284,3200517,"2022-08-31",19,842647,9940
"234","Iowa",2022,"2022/09",134,"09",1398805,1266396,3200517,"2022-09-30",19,856096,10077
"235","Iowa",2022,"2022/10",159,"10",1404490,1271880,3200517,"2022-10-31",19,862925,10177
"236","Iowa",2022,"2022/11",145,"11",1410916,1277341,3200517,"2022-11-30",19,873595,10296
"237","Iowa",2022,"2022/12",147,"12",1414133,1279959,3200517,"2022-12-31",19,886411,10424
"238","Iowa",2023,"2023/01",158,"01",1416581,1281953,NA,"2023-01-31",19,894126,10568
"239","Iowa",2023,"2023/02",138,"02",1418194,1283211,NA,"2023-02-28",19,900343,10673
"240","Iowa",2023,"2023/03",134,"03",1418926,1283848,NA,"2023-03-23",19,907421,10770
"241","Kansas",2022,"2022/01",144,"01",1372949,1129510,2937150,"2022-01-31",20,731036,7565
"242","Kansas",2022,"2022/02",115,"02",1389731,1144775,2937150,"2022-02-28",20,766992,7968
"243","Kansas",2022,"2022/03",153,"03",1401339,1157285,2937150,"2022-03-31",20,771008,8321
"244","Kansas",2022,"2022/04",112,"04",1408301,1164392,2937150,"2022-04-30",20,776663,8635
"245","Kansas",2022,"2022/05",153,"05",1414217,1169964,2937150,"2022-05-31",20,786784,8959
"246","Kansas",2022,"2022/06",130,"06",1399142,1180405,2937150,"2022-06-30",20,807562,8977
"247","Kansas",2022,"2022/07",121,"07",1404093,1185379,2937150,"2022-07-31",20,835667,8992
"248","Kansas",2022,"2022/08",124,"08",1408838,1192079,2937150,"2022-08-31",20,864871,9019
"249","Kansas",2022,"2022/09",140,"09",1413633,1196642,2937150,"2022-09-30",20,879022,9555
"250","Kansas",2022,"2022/10",119,"10",1421821,1206364,2937150,"2022-10-31",20,888322,9632
"251","Kansas",2022,"2022/11",137,"11",1430956,1213945,2937150,"2022-11-30",20,902082,9801
"252","Kansas",2022,"2022/12",157,"12",1435771,1217739,2937150,"2022-12-31",20,917091,9859
"253","Kansas",2023,"2023/01",124,"01",1439234,1220570,NA,"2023-01-31",20,926552,10082
"254","Kansas",2023,"2023/02",102,"02",1441105,1222043,NA,"2023-02-28",20,934526,10168
"255","Kansas",2023,"2023/03",101,"03",1442716,1223617,NA,"2023-03-23",20,940815,10232
"256","Kentucky",2022,"2022/01",358,"01",1918350,1647543,4512310,"2022-01-31",21,1172511,12974
"257","Kentucky",2022,"2022/02",328,"02",1937759,1666411,4512310,"2022-02-28",21,1288028,13903
